Model,Feature,Target,Importance
WAS,Odyssey Sims,opp_score,0.0
WAS,Rebecca Allen,team_score,0.0
WAS,Rebecca Allen,opp_score,0.0
WAS,Rhyne Howard,team_score,0.0
WAS,Elizabeth Williams,opp_score,0.0
WAS,Ezi Magbegor,team_score,0.0
WAS,Ezi Magbegor,opp_score,0.0
WAS,Jackie Young,team_score,0.0
WAS,Jackie Young,opp_score,0.0
WAS,Natasha Howard,opp_score,0.0
DAL,Aaliyah Edwards,team_score,0.0
SEA,Kahleah Copper,opp_score,0.0
SEA,Temi Fagbenle,opp_score,0.0
SEA,Tina Charles,team_score,0.0
SEA,Tina Charles,opp_score,0.0
CHI,Jonquel Jones,opp_score,0.0
CHI,Jordan Horston,team_score,0.0
CHI,Jordan Horston,opp_score,0.0
CHI,Kahleah Copper,team_score,0.0
SEA,Jackie Young,team_score,0.0
SEA,Jackie Young,opp_score,0.0
SEA,Jonquel Jones,team_score,0.0
SEA,Jonquel Jones,opp_score,0.0
LAS,Arike Ogunbowale,team_score,0.0
SEA,Kahleah Copper,team_score,0.0
SEA,Temi Fagbenle,team_score,0.0
SEA,Stefanie Dolson,team_score,0.0
CHI,Kiah Stokes,team_score,0.0
CHI,Kiah Stokes,opp_score,0.0
CHI,Monique Billings,team_score,0.0
CHI,Monique Billings,opp_score,0.0
CHI,Napheesa Collier,team_score,0.0
DAL,Kiah Stokes,team_score,0.0
DAL,Kiah Stokes,opp_score,0.0
ATL,Rebecca Allen,team_score,0.0
SEA,Monique Billings,team_score,0.0
SEA,Monique Billings,opp_score,0.0
SEA,Napheesa Collier,team_score,0.0
DAL,Rebecca Allen,opp_score,0.0
LAS,A'ja Wilson,team_score,0.0
ATL,Odyssey Sims,opp_score,0.0
CHI,Arike Ogunbowale,team_score,0.0
DAL,Kelsey Plum,team_score,0.0
DAL,Kelsey Plum,opp_score,0.0
CHI,Brittney Griner,team_score,0.0
CHI,Brittney Griner,opp_score,0.0
CHI,Cameron Brink,team_score,0.0
CHI,A'ja Wilson,team_score,0.0
CHI,A'ja Wilson,opp_score,0.0
CHI,Aaliyah Edwards,team_score,0.0
CHI,Aaliyah Edwards,opp_score,0.0
DAL,Rebecca Allen,team_score,0.0
IND,Kamilla Cardoso,opp_score,0.0
DAL,Rhyne Howard,team_score,0.0
DAL,Kayla McBride,opp_score,0.0
CHI,Arike Ogunbowale,opp_score,0.0
CHI,Azura Stevens,team_score,0.0
ATL,Rebecca Allen,opp_score,0.0
ATL,Sabrina Ionescu,team_score,0.0
SEA,Satou Sabally,team_score,0.0
SEA,Satou Sabally,opp_score,0.0
WAS,Bridget Carleton,team_score,0.0
SEA,Stefanie Dolson,opp_score,0.0
SEA,Teaira McCowan,team_score,0.0
SEA,Teaira McCowan,opp_score,0.0
LVA,Azura Stevens,team_score,0.0
LAS,Kahleah Copper,opp_score,0.0
LAS,Kahleah Copper,team_score,0.0
LAS,Jordan Horston,opp_score,0.0
LAS,Jordan Horston,team_score,0.0
LAS,Teaira McCowan,team_score,0.0
LAS,Stefanie Dolson,opp_score,0.0
LAS,Stefanie Dolson,team_score,0.0
LAS,Satou Sabally,opp_score,0.0
LAS,Satou Sabally,team_score,0.0
LAS,Sabrina Ionescu,opp_score,0.0
LAS,Sabrina Ionescu,team_score,0.0
LAS,Kayla McBride,team_score,0.0
LAS,Kamilla Cardoso,team_score,0.0
LVA,Arike Ogunbowale,opp_score,0.0
LVA,Arike Ogunbowale,team_score,0.0
LVA,Angel Reese,opp_score,0.0
LVA,Angel Reese,team_score,0.0
CON,Tina Charles,opp_score,0.0
CON,Tina Charles,team_score,0.0
CON,Temi Fagbenle,opp_score,0.0
CON,Temi Fagbenle,team_score,0.0
CON,Teaira McCowan,opp_score,0.0
CON,Teaira McCowan,team_score,0.0
CON,Stefanie Dolson,opp_score,0.0
LAS,Chelsea Gray,team_score,0.0
ATL,Kayla McBride,team_score,0.0
LAS,Tina Charles,opp_score,0.0
LAS,Tina Charles,team_score,0.0
LAS,Temi Fagbenle,opp_score,0.0
LAS,Temi Fagbenle,team_score,0.0
LAS,Teaira McCowan,opp_score,0.0
IND,Teaira McCowan,opp_score,0.0
IND,Teaira McCowan,team_score,0.0
ATL,Monique Billings,team_score,0.0
LAS,Chennedy Carter,opp_score,0.0
LAS,Chennedy Carter,team_score,0.0
LAS,Chelsea Gray,opp_score,0.0
CON,Stefanie Dolson,team_score,0.0
LAS,Napheesa Collier,opp_score,0.0
LAS,Napheesa Collier,team_score,0.0
LAS,Monique Billings,opp_score,0.0
LAS,Monique Billings,team_score,0.0
LAS,Kiah Stokes,opp_score,0.0
LAS,Kiah Stokes,team_score,0.0
LAS,Kelsey Plum,opp_score,0.0
LAS,Kelsey Plum,team_score,0.0
LAS,Kayla McBride,opp_score,0.0
LAS,Rhyne Howard,opp_score,0.0
LAS,Kamilla Cardoso,opp_score,0.0
DAL,Aari McDonald,opp_score,0.0
ATL,Nneka Ogwumike,team_score,0.0
ATL,Natasha Howard,opp_score,0.0
LVA,Aari McDonald,opp_score,0.0
LVA,Azura Stevens,opp_score,0.0
LVA,Aaliyah Edwards,opp_score,0.0
LVA,Aaliyah Edwards,team_score,0.0
LAS,Cheyenne Parker-Tyus,opp_score,0.0
LAS,Diana Taurasi,team_score,0.0
DAL,Angel Reese,opp_score,0.0
DAL,Angel Reese,team_score,0.0
DAL,Alanna Smith,opp_score,0.0
DAL,Alanna Smith,team_score,0.0
ATL,Nneka Ogwumike,opp_score,0.0
DAL,Aari McDonald,team_score,0.0
DAL,Aaliyah Edwards,opp_score,0.0
IND,Tina Charles,opp_score,0.0
IND,Tina Charles,team_score,0.0
LVA,Aari McDonald,team_score,0.0
NYL,Arike Ogunbowale,opp_score,0.0
NYL,Arike Ogunbowale,team_score,0.0
NYL,Kamilla Cardoso,team_score,0.0
NYL,Kahleah Copper,opp_score,0.0
NYL,Kahleah Copper,team_score,0.0
NYL,Jordan Horston,opp_score,0.0
LVA,Brittney Griner,opp_score,0.0
IND,Stefanie Dolson,opp_score,0.0
LVA,Alanna Smith,team_score,0.0
LVA,Elizabeth Williams,team_score,0.0
LVA,Diana Taurasi,opp_score,0.0
LVA,Diana Taurasi,team_score,0.0
LVA,Cheyenne Parker-Tyus,opp_score,0.0
LVA,Cheyenne Parker-Tyus,team_score,0.0
LVA,Chennedy Carter,opp_score,0.0
LVA,Chennedy Carter,team_score,0.0
LAS,Diana Taurasi,opp_score,0.0
LVA,Cameron Brink,opp_score,0.0
LVA,Cameron Brink,team_score,0.0
