team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
NYL,40,2024,9,19,1,ATL,2,67,78,24,60,0.4,8,17,0.471,11,17,0.647,9,28,17,8,6,17,16,31,62,0.5,5,13,0.385,11,16,0.688,9,35,22,8,2,14,16,92.0,107.1,72.8,0.283,0.283,0.496,44.4,70.8,11.0,12.2,0.467,20.1,25.7,0.183,0.54,16.9,67.9,0.177
PHO,1,2024,5,14,2,LVA,2,80,89,29,76,0.382,15,36,0.417,7,10,0.7,10,37,21,6,6,15,23,29,71,0.408,6,29,0.207,25,29,0.862,8,37,17,7,5,9,12,97.9,108.9,81.7,0.132,0.474,0.498,50.0,72.4,7.3,14.3,0.48,15.7,25.6,0.092,0.451,9.7,77.1,0.352
PHO,2,2024,5,18,1,ATL,1,88,85,27,66,0.409,6,23,0.261,28,32,0.875,7,38,17,10,5,12,22,27,66,0.409,10,23,0.435,21,27,0.778,7,33,21,8,5,13,21,107.3,103.6,82.0,0.485,0.348,0.549,53.5,63.0,12.2,11.6,0.455,13.0,21.2,0.424,0.485,14.3,81.6,0.318
PHO,3,2024,5,21,2,LVA,1,98,88,37,78,0.474,16,33,0.485,8,13,0.615,6,39,23,7,7,7,15,33,78,0.423,11,31,0.355,11,15,0.733,7,39,22,5,4,9,18,116.8,104.9,83.9,0.167,0.423,0.585,50.0,62.2,8.3,14.9,0.577,7.7,15.8,0.103,0.494,9.6,82.5,0.141
PHO,4,2024,5,23,1,WAS,1,83,80,26,60,0.433,10,33,0.303,21,24,0.875,4,34,20,9,4,16,19,27,70,0.386,13,36,0.361,13,16,0.813,9,36,21,7,1,17,21,101.4,97.7,81.8,0.4,0.55,0.588,48.6,76.9,11.0,11.8,0.517,18.5,12.9,0.35,0.479,18.1,76.9,0.186
PHO,5,2024,5,25,1,DAL,2,92,107,31,75,0.413,14,35,0.4,16,17,0.941,8,25,26,7,6,19,15,39,75,0.52,10,20,0.5,19,21,0.905,14,38,23,10,5,18,14,106.3,123.7,86.5,0.227,0.467,0.558,39.7,83.9,8.1,10.9,0.507,18.7,25.0,0.213,0.587,17.6,54.8,0.253
PHO,6,2024,5,28,2,CON,2,47,70,15,63,0.238,1,27,0.037,16,22,0.727,12,43,12,7,9,20,11,27,77,0.351,5,24,0.208,11,18,0.611,11,38,23,12,4,9,17,60.6,90.2,77.6,0.349,0.429,0.323,53.1,80.0,9.0,17.0,0.246,21.6,30.8,0.254,0.383,9.6,73.8,0.143
PHO,7,2024,5,29,2,NYL,2,78,81,29,68,0.426,10,30,0.333,10,13,0.769,8,34,18,6,2,10,18,28,68,0.412,9,32,0.281,16,18,0.889,9,39,19,7,5,10,12,105.0,109.0,74.3,0.191,0.441,0.529,46.6,62.1,8.1,5.6,0.5,11.9,21.1,0.147,0.478,11.6,74.3,0.235
PHO,8,2024,5,31,2,MIN,2,71,95,24,62,0.387,9,28,0.321,14,18,0.778,10,36,16,6,2,16,14,36,73,0.493,14,35,0.4,9,12,0.75,10,36,29,6,3,6,15,96.8,129.5,73.3,0.29,0.452,0.508,50.0,66.7,8.2,5.3,0.46,18.6,27.8,0.226,0.589,7.1,72.2,0.123
PHO,9,2024,6,2,1,LAS,1,87,68,28,66,0.424,14,29,0.483,17,20,0.85,7,33,20,11,5,14,18,24,60,0.4,9,23,0.391,11,15,0.733,6,30,18,5,2,18,23,111.8,87.4,77.8,0.303,0.439,0.582,52.4,71.4,14.1,13.5,0.53,15.8,22.6,0.258,0.475,21.3,81.3,0.183
PHO,10,2024,6,4,2,SEA,2,62,80,23,68,0.338,4,23,0.174,12,17,0.706,3,33,13,7,4,13,15,28,69,0.406,8,23,0.348,16,21,0.762,8,42,20,10,4,14,15,74.7,96.4,83.0,0.25,0.338,0.411,44.0,56.5,8.4,8.7,0.368,14.7,8.1,0.176,0.464,15.2,78.9,0.232
PHO,11,2024,6,7,1,MIN,1,81,80,29,70,0.414,9,26,0.346,14,18,0.778,10,39,18,6,7,14,13,28,72,0.389,15,34,0.441,9,11,0.818,7,36,24,5,5,13,20,101.1,99.9,80.1,0.257,0.371,0.52,52.0,62.1,7.5,18.4,0.479,15.2,25.6,0.2,0.493,14.5,80.6,0.125
PHO,12,2024,6,9,2,DAL,1,97,90,37,80,0.463,9,33,0.273,14,19,0.737,9,29,25,9,5,20,19,37,78,0.474,6,23,0.261,10,14,0.714,9,36,25,9,3,21,21,103.7,96.2,74.8,0.238,0.413,0.549,44.6,67.6,9.6,9.1,0.519,18.5,25.0,0.175,0.513,20.0,69.0,0.128
PHO,13,2024,6,13,1,LVA,2,99,103,39,72,0.542,8,25,0.32,13,15,0.867,4,23,26,5,5,12,26,33,69,0.478,13,30,0.433,24,25,0.96,12,37,17,6,2,14,16,121.3,126.2,81.6,0.208,0.347,0.63,38.3,66.7,6.1,12.8,0.597,13.2,13.8,0.181,0.572,14.9,61.3,0.348
PHO,14,2024,6,16,1,SEA,1,87,78,31,62,0.5,7,18,0.389,18,19,0.947,3,37,24,5,5,15,18,29,75,0.387,5,26,0.192,15,21,0.714,10,36,18,11,4,9,19,107.2,96.1,81.2,0.306,0.29,0.618,50.7,77.4,6.2,10.2,0.556,17.6,10.3,0.29,0.42,9.7,77.3,0.2
PHO,15,2024,6,18,1,NYL,1,99,93,38,69,0.551,15,30,0.5,8,10,0.8,4,31,24,7,3,17,12,32,76,0.421,18,42,0.429,11,14,0.786,11,37,27,14,4,16,12,116.8,109.7,84.7,0.145,0.435,0.674,45.6,63.2,8.3,8.8,0.659,18.8,13.3,0.116,0.539,16.3,71.1,0.145
PHO,16,2024,6,22,2,MIN,2,60,73,23,74,0.311,7,34,0.206,7,12,0.583,7,31,14,8,5,13,17,26,62,0.419,8,22,0.364,13,18,0.722,5,44,18,5,4,15,13,74.5,90.7,80.5,0.162,0.459,0.378,41.3,60.9,9.9,12.5,0.358,14.1,15.2,0.095,0.484,17.7,82.8,0.21
PHO,17,2024,6,28,1,LAS,1,92,78,35,69,0.507,7,21,0.333,15,23,0.652,13,39,19,9,6,15,17,29,63,0.46,10,21,0.476,10,15,0.667,4,23,24,10,5,15,21,116.8,99.0,78.7,0.333,0.304,0.581,62.9,54.3,11.4,14.3,0.558,15.9,40.6,0.217,0.54,17.7,86.7,0.159
PHO,18,2024,6,30,1,IND,2,82,88,27,68,0.397,8,28,0.286,20,24,0.833,6,28,18,9,1,12,25,28,63,0.444,8,28,0.286,24,31,0.774,9,42,20,5,2,14,24,101.6,109.1,80.7,0.353,0.412,0.522,40.0,66.7,11.2,2.9,0.456,13.3,15.4,0.294,0.508,15.4,71.0,0.381
