team,year,month,day,home_away,opp,win_loss,team_score,opp_score,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
DAL,2024,5,25,1,PHO,1,107,92,123.7,106.3,86.5,0.28,0.267,0.635,60.3,59.0,11.6,12.5,0.587,17.6,45.2,0.253,0.507,18.7,75.0,0.213
DAL,2024,5,26,1,LAS,1,84,83,109.4,108.1,76.7,0.316,0.158,0.485,54.3,68.8,6.5,10.9,0.434,6.5,37.2,0.237,0.434,8.6,73.7,0.224
DAL,2024,5,31,1,CON,2,72,74,103.4,106.3,69.6,0.065,0.258,0.565,51.7,65.6,4.3,8.0,0.565,18.0,26.9,0.032,0.5,12.4,71.9,0.233
DAL,2024,6,2,1,MIN,2,76,87,92.2,105.6,82.4,0.215,0.169,0.534,55.7,66.7,14.6,5.8,0.492,26.0,32.0,0.185,0.507,16.0,72.2,0.211
DAL,2024,6,5,1,LVA,2,81,95,101.8,119.4,79.5,0.297,0.338,0.484,54.8,64.3,6.3,9.5,0.412,13.4,35.9,0.27,0.55,13.2,76.5,0.257
DAL,2024,6,7,1,LAS,2,72,81,89.2,100.4,80.7,0.178,0.233,0.457,49.3,48.3,8.7,10.0,0.411,15.1,24.3,0.164,0.507,15.5,76.5,0.143
DAL,2024,6,9,1,PHO,2,90,97,96.2,103.7,74.8,0.179,0.295,0.535,55.4,67.6,9.6,6.4,0.513,20.0,31.0,0.128,0.519,18.5,75.0,0.175
DAL,2024,6,13,1,SEA,2,84,92,108.2,118.6,77.6,0.262,0.2,0.579,51.9,74.2,7.7,18.4,0.523,20.8,32.1,0.246,0.572,12.8,73.1,0.188
DAL,2024,6,15,1,CON,2,67,85,90.9,115.4,73.7,0.393,0.262,0.468,43.3,82.6,4.1,4.1,0.385,13.3,18.4,0.328,0.493,8.4,75.9,0.284
DAL,2024,6,17,1,MIN,2,78,90,103.8,119.7,75.2,0.041,0.233,0.525,54.8,68.6,6.7,6.3,0.527,17.7,33.3,0.014,0.5,8.3,75.0,0.343
