team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf
CHI,31,2024,8,30,1,IND,2,81,100,29,72,0.403,9,25,0.36,14,21,0.667,13,42,24,6,1,13,21,32,66,0.485,13,29,0.448,23,29,0.793,5,31,26,9,5,11,22
CHI,32,2024,9,1,2,MIN,2,74,79,27,59,0.458,2,9,0.222,18,19,0.947,11,38,15,5,1,21,18,32,70,0.457,5,22,0.227,10,12,0.833,9,24,23,10,2,10,15
CHI,33,2024,9,3,2,LVA,2,71,90,25,60,0.417,7,18,0.389,14,19,0.737,6,29,16,8,2,17,18,32,61,0.525,8,24,0.333,18,21,0.857,5,31,25,12,6,12,15
CHI,34,2024,9,6,1,LAS,1,92,78,36,70,0.514,7,16,0.438,13,14,0.929,7,35,24,9,5,13,18,29,66,0.439,5,20,0.25,15,20,0.75,6,26,23,9,4,13,18
CHI,35,2024,9,8,1,DAL,1,92,77,35,70,0.5,5,13,0.385,17,23,0.739,8,38,19,6,4,12,18,30,74,0.405,3,15,0.2,14,19,0.737,13,34,21,6,4,14,21
CHI,36,2024,9,11,1,WAS,2,58,89,25,70,0.357,1,8,0.125,7,11,0.636,11,32,17,7,4,15,20,34,68,0.5,9,23,0.391,12,17,0.706,9,37,28,9,7,11,13
CHI,37,2024,9,13,2,MIN,2,66,83,25,68,0.368,4,17,0.235,12,17,0.706,9,34,17,4,6,12,12,33,73,0.452,8,26,0.308,9,10,0.9,7,39,25,8,4,10,14
CHI,38,2024,9,15,1,PHO,2,88,93,32,72,0.444,14,25,0.56,10,15,0.667,11,37,26,4,3,7,16,36,66,0.545,9,24,0.375,12,17,0.706,3,30,29,4,2,8,15
CHI,39,2024,9,17,2,ATL,2,70,86,25,61,0.41,6,18,0.333,14,16,0.875,6,29,13,1,2,13,24,30,62,0.484,5,15,0.333,21,30,0.7,7,35,19,9,4,7,14
CHI,40,2024,9,19,2,CON,2,54,87,21,62,0.339,6,21,0.286,6,9,0.667,6,24,16,5,10,15,19,35,70,0.5,6,14,0.429,11,13,0.846,9,37,24,7,9,10,11
CON,1,2024,5,14,1,IND,1,92,71,32,66,0.485,9,21,0.429,19,25,0.76,8,30,20,11,1,15,22,24,50,0.48,8,20,0.4,15,19,0.789,4,28,16,6,5,25,21
CON,2,2024,5,17,1,WAS,1,84,77,29,68,0.426,2,20,0.1,24,26,0.923,8,29,16,14,3,10,22,28,58,0.483,9,22,0.409,12,14,0.857,4,28,22,6,4,20,21
CON,3,2024,5,20,2,IND,1,88,84,30,74,0.405,4,19,0.211,24,30,0.8,15,33,15,5,4,8,13,33,69,0.478,6,20,0.3,12,13,0.923,13,36,20,4,7,17,24
CON,4,2024,5,23,1,MIN,1,83,82,30,67,0.448,5,11,0.455,18,21,0.857,3,30,17,10,2,16,17,33,68,0.485,4,21,0.19,12,20,0.6,6,33,23,11,5,17,19
CON,5,2024,5,25,2,CHI,1,86,82,31,63,0.492,6,17,0.353,18,21,0.857,16,38,17,5,4,17,16,28,64,0.438,8,17,0.471,18,22,0.818,9,21,18,13,3,11,24
CON,6,2024,5,28,1,PHO,1,70,47,27,77,0.351,5,24,0.208,11,18,0.611,11,38,23,12,4,9,17,15,63,0.238,1,27,0.037,16,22,0.727,12,43,12,7,9,20,11
CON,7,2024,5,31,1,DAL,1,74,72,29,60,0.483,2,10,0.2,14,24,0.583,9,28,22,8,2,10,12,32,62,0.516,6,16,0.375,2,4,0.5,7,30,21,3,4,14,22
CON,8,2024,6,2,2,ATL,1,69,50,28,66,0.424,6,18,0.333,7,13,0.538,7,45,22,4,3,15,17,19,67,0.284,3,16,0.188,9,12,0.75,8,33,10,10,6,12,16
CON,9,2024,6,4,1,WAS,1,76,59,27,57,0.474,6,15,0.4,16,27,0.593,6,31,22,7,4,12,15,20,64,0.313,6,29,0.207,13,15,0.867,13,37,13,4,3,16,21
CON,10,2024,6,8,1,NYL,2,75,82,29,71,0.408,4,16,0.25,13,17,0.765,11,35,17,3,2,13,14,31,60,0.517,9,25,0.36,11,13,0.846,0,28,27,8,5,11,18
CON,11,2024,6,10,1,IND,1,89,72,30,65,0.462,8,17,0.471,21,24,0.875,12,41,22,9,3,10,19,25,62,0.403,9,24,0.375,13,19,0.684,7,26,19,5,3,11,18
CON,12,2024,6,12,2,CHI,1,83,75,28,62,0.452,3,14,0.214,24,28,0.857,8,28,21,13,2,14,14,28,58,0.483,6,13,0.462,13,15,0.867,8,29,19,8,7,17,18
CON,13,2024,6,15,2,DAL,1,85,67,30,67,0.448,6,18,0.333,19,22,0.864,7,38,21,7,3,7,21,23,61,0.377,1,16,0.063,20,24,0.833,7,29,19,3,2,11,17
CON,14,2024,6,18,1,LAS,1,79,70,34,65,0.523,4,10,0.4,7,10,0.7,7,27,18,10,3,10,18,26,52,0.5,6,17,0.353,12,18,0.667,4,26,19,7,2,22,15
CON,15,2024,6,21,2,LVA,2,74,85,26,61,0.426,6,13,0.462,16,25,0.64,3,29,14,8,1,10,16,31,65,0.477,6,24,0.25,17,23,0.739,10,42,16,6,3,12,17
CON,16,2024,6,23,2,SEA,2,61,72,25,67,0.373,2,14,0.143,9,17,0.529,12,38,13,8,3,14,16,27,64,0.422,4,16,0.25,14,16,0.875,8,35,23,13,4,14,14
CON,17,2024,6,27,2,WAS,1,94,91,32,73,0.438,9,27,0.333,21,28,0.75,9,30,20,12,5,10,20,35,68,0.515,11,28,0.393,10,15,0.667,4,31,26,3,5,23,21
CON,18,2024,6,28,1,ATL,2,74,78,23,59,0.39,7,21,0.333,21,26,0.808,6,26,20,10,2,18,17,28,57,0.491,6,14,0.429,16,22,0.727,5,32,18,12,6,15,22
