team,year,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,day,month
LVA,2020,@,PHO,L,95,102,32,70,.457,7,14,.500,24,28,.857,5,30,22,8,1,10,17,38,66,.576,11,20,.550,15,19,.789,2,31,30,4,9,13,26,31.0,7.0
LVA,2020,,DAL,W,79,70,27,62,.435,3,14,.214,22,27,.815,7,40,17,3,1,18,14,28,76,.368,4,30,.133,10,12,.833,9,30,11,10,5,10,23,2.0,8.0
LVA,2020,@,WAS,W,83,77,28,57,.491,4,10,.400,23,30,.767,6,38,11,6,0,15,17,31,74,.419,8,26,.308,7,11,.636,8,30,17,7,1,11,23,5.0,8.0
LVA,2020,,LAS,W,86,82,34,68,.500,4,7,.571,14,16,.875,7,42,20,6,3,18,19,30,72,.417,6,20,.300,16,17,.941,7,33,18,9,6,13,20,7.0,8.0
LVA,2020,@,NYL,W,78,76,28,61,.459,1,8,.125,21,24,.875,5,30,15,6,3,10,18,28,64,.438,10,28,.357,10,16,.625,6,30,17,5,3,14,23,9.0,8.0
LVA,2020,@,IND,W,98,79,39,75,.520,4,8,.500,16,22,.727,8,37,20,7,3,9,9,34,71,.479,3,18,.167,8,12,.667,5,31,16,6,2,11,17,11.0,8.0
LVA,2020,,MIN,W,87,77,34,70,.486,2,13,.154,17,21,.810,12,34,17,11,6,11,14,29,66,.439,7,22,.318,12,17,.706,10,32,19,6,7,19,21,13.0,8.0
LVA,2020,,WAS,W,88,73,35,65,.538,6,13,.462,12,15,.800,3,29,21,10,2,10,12,29,76,.382,8,28,.286,7,8,.875,15,39,19,6,3,18,17,15.0,8.0
LVA,2020,@,CHI,L,82,84,28,74,.378,5,18,.278,21,24,.875,6,32,22,10,6,7,11,37,72,.514,8,25,.320,2,5,.400,5,34,25,2,10,14,20,18.0,8.0
LVA,2020,,CON,W,99,78,36,64,.563,4,11,.364,23,27,.852,7,37,25,10,0,15,16,30,69,.435,7,23,.304,11,13,.846,6,26,19,8,2,16,22,20.0,8.0
LVA,2020,,SEA,W,82,74,30,68,.441,2,11,.182,20,25,.800,8,44,21,7,3,16,12,28,75,.373,7,26,.269,11,14,.786,6,34,23,10,3,13,21,22.0,8.0
LVA,2020,@,DAL,W,96,92,31,64,.484,2,6,.333,32,37,.865,11,39,22,6,2,8,20,31,75,.413,15,40,.375,15,20,.750,14,37,15,2,3,11,30,25.0,8.0
LVA,2020,,NYL,W,80,63,30,79,.380,6,20,.300,14,16,.875,12,43,18,9,8,8,14,22,66,.333,9,27,.333,10,12,.833,9,44,13,6,6,17,19,29.0,8.0
LVA,2020,,PHO,L,85,92,32,75,.427,3,10,.300,18,21,.857,13,44,21,6,2,12,14,34,74,.459,14,32,.438,10,12,.833,6,36,26,4,12,8,19,1.0,9.0
LVA,2020,@,CON,W,93,78,38,73,.521,5,12,.417,12,12,1.000,6,23,25,11,5,10,18,25,61,.410,4,20,.200,24,29,.828,17,41,11,5,7,21,17,3.0,9.0
LVA,2020,@,ATL,W,89,79,33,63,.524,4,12,.333,19,23,.826,5,38,19,8,3,16,17,34,76,.447,1,12,.083,10,15,.667,7,30,16,9,4,9,17,5.0,9.0
LVA,2020,,IND,W,92,86,32,70,.457,2,6,.333,26,32,.813,13,42,23,9,4,9,7,34,70,.486,10,23,.435,8,8,1.000,4,28,24,6,3,13,21,8.0,9.0
LVA,2020,@,MIN,W,104,89,37,75,.493,10,18,.556,20,23,.870,7,37,31,10,4,6,13,33,72,.458,10,29,.345,13,14,.929,7,33,24,4,3,12,16,10.0,9.0
LVA,2020,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,,
LVA,2020,@,LAS,W,84,70,32,61,.525,5,9,.556,15,19,.789,5,38,22,6,4,15,16,27,72,.375,5,22,.227,11,12,.917,6,29,25,8,3,12,16,12.0,9.0
