Model,Feature,Target,Importance
MIN,Chelsea Gray,opp_score,0.0
MIN,Kiah Stokes,opp_score,0.0
LVA,NaLyssa Smith,team_score,0.0
LVA,Kiah Stokes,opp_score,0.0
LVA,Leonie Fiebich,team_score,0.0
LVA,Leonie Fiebich,opp_score,0.0
LVA,Marina Mabrey,team_score,0.0
LVA,Marina Mabrey,opp_score,0.0
LVA,Monique Billings,team_score,0.0
LVA,Monique Billings,opp_score,0.0
LVA,Myisha Hines-Allen,team_score,0.0
LVA,Myisha Hines-Allen,opp_score,0.0
LVA,Kiah Stokes,team_score,0.0
LVA,NaLyssa Smith,opp_score,0.0
LVA,Napheesa Collier,team_score,0.0
LVA,Napheesa Collier,opp_score,0.0
LVA,Natasha Howard,team_score,0.0
LVA,Natasha Howard,opp_score,0.0
NYL,Sophie Cunningham,opp_score,0.0
NYL,Stefanie Dolson,team_score,0.0
NYL,Stefanie Dolson,opp_score,0.0
NYL,Teaira McCowan,team_score,0.0
LVA,Rebecca Allen,team_score,0.0
LVA,Tina Charles,opp_score,0.0
NYL,Odyssey Sims,opp_score,0.0
NYL,Rebecca Allen,team_score,0.0
LVA,Naz Hillmon,team_score,0.0
LVA,Naz Hillmon,opp_score,0.0
LVA,Nneka Ogwumike,team_score,0.0
LVA,Nneka Ogwumike,opp_score,0.0
LVA,Odyssey Sims,team_score,0.0
LVA,Odyssey Sims,opp_score,0.0
NYL,NaLyssa Smith,team_score,0.0
LVA,Rebecca Allen,opp_score,0.0
LVA,Rhyne Howard,team_score,0.0
LVA,Rhyne Howard,opp_score,0.0
LVA,Rickea Jackson,team_score,0.0
LVA,Rickea Jackson,opp_score,0.0
LVA,Sabrina Ionescu,team_score,0.0
LVA,Sabrina Ionescu,opp_score,0.0
LVA,Satou Sabally,team_score,0.0
LVA,Satou Sabally,opp_score,0.0
MIN,Ariel Atkins,team_score,0.0
NYL,Elizabeth Williams,team_score,0.0
NYL,Elizabeth Williams,opp_score,0.0
NYL,Ezi Magbegor,team_score,0.0
NYL,Ezi Magbegor,opp_score,0.0
NYL,Jackie Young,team_score,0.0
NYL,Jackie Young,opp_score,0.0
NYL,Jordan Horston,team_score,0.0
MIN,Cameron Brink,opp_score,0.0
MIN,Chelsea Gray,team_score,0.0
NYL,Diana Taurasi,opp_score,0.0
MIN,Ariel Atkins,opp_score,0.0
MIN,Arike Ogunbowale,team_score,0.0
MIN,Arike Ogunbowale,opp_score,0.0
MIN,Azura Stevens,team_score,0.0
MIN,Azura Stevens,opp_score,0.0
MIN,Breanna Stewart,team_score,0.0
MIN,Breanna Stewart,opp_score,0.0
MIN,Brionna Jones,team_score,0.0
MIN,Brionna Jones,opp_score,0.0
MIN,Elizabeth Williams,team_score,0.0
MIN,Chennedy Carter,opp_score,0.0
MIN,Cheyenne Parker-Tyus,team_score,0.0
MIN,Cheyenne Parker-Tyus,opp_score,0.0
MIN,DeWanna Bonner,team_score,0.0
MIN,DeWanna Bonner,opp_score,0.0
MIN,Dearica Hamby,team_score,0.0
MIN,Dearica Hamby,opp_score,0.0
MIN,Diana Taurasi,team_score,0.0
MIN,Diana Taurasi,opp_score,0.0
MIN,Brittney Griner,team_score,0.0
MIN,Elizabeth Williams,opp_score,0.0
MIN,Ezi Magbegor,team_score,0.0
MIN,Ezi Magbegor,opp_score,0.0
MIN,Jackie Young,team_score,0.0
NYL,DeWanna Bonner,team_score,0.0
NYL,DeWanna Bonner,opp_score,0.0
NYL,Dearica Hamby,team_score,0.0
NYL,Dearica Hamby,opp_score,0.0
NYL,Diana Taurasi,team_score,0.0
NYL,Kiah Stokes,team_score,0.0
NYL,Kahleah Copper,opp_score,0.0
NYL,Kamilla Cardoso,team_score,0.0
NYL,Kamilla Cardoso,opp_score,0.0
NYL,Kayla McBride,team_score,0.0
NYL,Kayla McBride,opp_score,0.0
NYL,Kelsey Mitchell,team_score,0.0
NYL,Kelsey Mitchell,opp_score,0.0
NYL,Kelsey Plum,team_score,0.0
NYL,Kelsey Plum,opp_score,0.0
MIN,Angel Reese,opp_score,0.0
NYL,Kiah Stokes,opp_score,0.0
NYL,Leonie Fiebich,team_score,0.0
NYL,Leonie Fiebich,opp_score,0.0
